Rcd_DT,CIF_NO,APPL_NO,AGREE_NO,APPL_DT,APPL_STS,JUDGE_DT,SCORING_POINT,SCORING_TYPE,SCORING_RANK,LOAN_CODE,LOAN_TYP_ID,LOAN_GRP,AGENT_CODE1,AGENT_CODE2,APPL_CHANNEL,REJECT_CODE,FIN_AMT,FIN_PRFT_AMT,FIN_TOTAL_AMT,INST_AMT,DEPOSIT,INTEREST,TOTAL_INST,JointIncome_FG,SCORE_DECISION,NetIncome,Income,Age,HomeYear,YearOfBusiness,AnnualIncome,TOTAL_AEON_INST,TOTAL_AEON_OSB,CUR_REPAY_RATIO,NEW_REPAY_RATIO,NDI,CUR_DSR,NEW_DSR,B_OtherIncome,B_NonBankCommitment,DEPENDANT,YEAR_MADE,NOB,HomeOwner_flag,CIFState,Race,Gender,Marital,National,Occupation,Academic,B_AdvInstallPymt,AdvInstallPymtBand,JudgeWeek_FG,Biometric_FG,E-KYC,OTP,APPLY_FIN_AMT,PreAssessment_Flag
2026-09-02,46881809,00000000000,800000000000,20260826,Approve,20260902,955,4,A,125,26,,4743,59,PARTNER,,124483.24,31556.5,156039.74,2600.66,5,5.07,60,N,A,24964.76,24964.76,45,0,10,397845.24,36,70522.94,17.76,20.61,6980.14,16.33,20.15,1990.3,1002.8,5,,Construction,Y,Kelantan,Malay,F,DIVORCED,MALAYSIAN,Technician,Diploma,694.09,,1,N,fail,pass,146160.73,Y
2026-09-02,96352145,00000000001,800000000001,20260826,Approve,20260924,866,3,G,112,17,,9652,71,TELEMARKETING,,47768.86,23215.67,70984.53,657.26,10,5.4,108, ,A,21296.31,21296.31,21,2,1,308739.96,12,131527.01,22.76,30.59,5906.69,21.82,28.45,138.32,1401.31,0,,Hospitality,Y,Kedah,Malay,M,MARRIED,MALAYSIAN,Police Officer,SPM,2649.94,,1,Y,fail,pass,66098.05,N
2026-09-02,46890134,00000000002,800000000002,20260831,Approve,20260901,924,3,E,153,23,,2122,46,MOBILE_APP,,78779.69,16622.51,95402.2,1590.04,20,4.22,60, ,A,22001.43,22001.43,64,28,26,339158.04,36,34768.87,19.47,28.18,3094.84,21.41,24.99,50.27,654.45,2,2026,Hospitality,Y,Johor,Chinese,F,MARRIED,MALAYSIAN,Administrator,SPM,2597.96,,,N,pass,pass,89270.17,N
2026-09-02,54773484,00000000003,800000000003,20260830,Approve,20260901,303,1,B,110,16,2,9870,86,PARTNER,,62318.7,24834.0,87152.7,1452.54,0,7.97,60,-,A,5453.19,5453.19,57,16,26,84774.96,108,37528.76,38.34,44.63,6356.33,46.27,53.78,2526.83,1560.93,1,2016,Professional Services,N,Perak,Indian,M,MARRIED,MALAYSIAN,Contractor,STPM,555.48,,,Y,pass,fail,64828.22,N
2026-09-02,19393589,00000000004,800000000004,20260831,Approve,20260923,862,1,G,127,16,,4336,51,PARTNER,,20964.31,5482.17,26446.48,440.77,5,5.23,60,-,A,16748.98,16748.98,58,29,9,265553.4,84,89084.83,27.52,34.55,7899.85,31.19,33.05,502.23,1863.14,1,,Hospitality,Y,Selangor,Indian,M,MARRIED,MALAYSIAN,Civil Servant,PhD,666.67,B,1,N,fail,pass,26367.27,Y
2026-09-02,21246542,00000000005,800000000005,20260827,Approve,20260831,799,2,E,158,17,1,8503,56,COUNTER,,40231.56,6155.43,46386.99,1288.53,10,5.1,36,-,A,23035.93,23035.93,24,2,0,319523.52,108,68535.27,18.48,27.5,3050.4,16.66,28.56,133.28,1689.04,0,,Construction,Y,Sarawak,Malay,M,MARRIED,MALAYSIAN,Retail Assistant,STPM,4436.67,B,1,N,fail,pass,48981.08,Y
2026-09-02,62034833,00000000006,800000000006,20260902,Approve,20261002,485,2,G,152,31,2,9753,17,MOBILE_APP,,97377.7,49964.5,147342.2,1754.07,5,7.33,84,Y,A,14424.47,14424.47,54,4,36,208632.84,60,134647.04,33.38,38.54,4900.05,34.02,43.75,288.03,664.07,2,,Financial Services,Y,Kuala Lumpur,Malay,M,DIVORCED,MALAYSIAN,Security Guard,SPM,1943.13,,,N,fail,pass,116048.71,Y
2026-09-02,18036096,00000000007,800000000007,20260902,Approve,20260919,838,2,A,162,35,,1572,51,PARTNER,,23993.88,5602.57,29596.45,493.27,30,4.67,60,Y,A,19693.43,19693.43,58,6,36,282516.12,36,81819.79,6.73,9.92,4091.15,5,10.78,1739.93,1919.26,4,,Plantation,Y,Selangor,Indian,F,MARRIED,MALAYSIAN,Army Personnel,STPM,67.4,C,,N,fail,pass,37446.46,N
2026-09-02,26752539,00000000008,800000000008,20260828,Approve,20260912,743,3,G,134,25,3,1247,30,TELEMARKETING,,50808.72,26979.43,77788.15,720.26,0,5.9,108,-,A,21540.33,21540.33,34,7,7,324412.68,36,133106.19,20.91,27.02,4504.51,25.45,32.94,447.17,320.39,0,2017,Agriculture,N,Johor,Indian,M,SINGLE,MALAYSIAN,Engineer,Diploma,3693.21,A,1,Y,pass,pass,77165.49,N
2026-09-02,73038607,00000000009,800000000009,20260901,Approve,20260920,906,3,A,101,24,2,7627,90,MOBILE_APP,,28295.01,12987.41,41282.42,382.24,20,5.1,108,-,A,16611.24,16611.24,28,1,9,243262.56,84,24210.68,17.82,19.07,3181.08,24.26,28.85,336.79,113.3,3,,Financial Services,N,Terengganu,Chinese,F,MARRIED,MALAYSIAN,Police Officer,Bachelor Degree,4352.79,,1,Y,pass,fail,43765.21,N
