TX_DT,CIF_No,TransactionCountry,TransactionCountryHigherLevel,PriviledgeMerchantsGrp,LDESC,Sales_Type,Amount,TransCount
20260921,46881809,RINGGIT MALAYSIA,OVERSEA,ON US,LOTUS'S STORES-CHERAS,CA,19845.12,1
20261005,46881809,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CA,33375.4,1
20261005,46881809,RINGGIT MALAYSIA,LOCAL,NOT ON US,PARKSON GRAND-PAVILION,CA,19386.35,1
20261012,46881809,RINGGIT MALAYSIA,LOCAL,ON US,SHELL MALAYSIA,CP,51876.37,1
20261002,96352145,RINGGIT MALAYSIA,OVERSEA,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,9641.19,1
20261005,96352145,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CP,8016.4,1
20261113,96352145,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CA,6231.49,1
20261121,96352145,RINGGIT MALAYSIA,LOCAL,NOT ON US,PETRONAS DAGANGAN,CA,23879.78,1
20261015,46890134,RINGGIT MALAYSIA,LOCAL,NOT ON US,ZALORA MALAYSIA,CA,78779.69,1
20260918,54773484,RINGGIT MALAYSIA,OVERSEA,ON US,COURTS MAMMOTH,CA,19704.98,1
20260928,54773484,RINGGIT MALAYSIA,LOCAL,NOT ON US,GRABPAY TOP UP,CA,42613.72,1
20261122,19393589,RINGGIT MALAYSIA,LOCAL,NOT ON US,TESCO STORES (M),CP,7015.22,1
20261103,19393589,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHELL MALAYSIA,CA,4642.55,1
20261105,19393589,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CP,9306.54,1
20260927,21246542,RINGGIT MALAYSIA,LOCAL,NOT ON US,HARVEY NORMAN-IOI CITY,CA,8501.86,1
20260921,21246542,RINGGIT MALAYSIA,LOCAL,ON US,PARKSON GRAND-PAVILION,CA,31729.7,1
20261106,62034833,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CP,48322.66,1
20261009,62034833,RINGGIT MALAYSIA,LOCAL,NOT ON US,WATSONS PERSONAL CARE,CP,21710.37,1
20261107,62034833,RINGGIT MALAYSIA,OVERSEA,NOT ON US,LAZADA MALAYSIA,CP,27344.67,1
20260926,18036096,RINGGIT MALAYSIA,LOCAL,NOT ON US,LOTUS'S STORES-CHERAS,CA,10728.35,1
20261012,18036096,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CA,4440.2,1
20261022,18036096,RINGGIT MALAYSIA,OVERSEA,ON US,AEON BIG (M) SDN BHD-KEPONG,CP,4246.22,1
20261005,18036096,RINGGIT MALAYSIA,OVERSEA,ON US,GRABPAY TOP UP,CP,4579.11,1
20260919,26752539,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON CO (M) BHD-MID VALLEY,CP,18572.12,1
20260929,26752539,RINGGIT MALAYSIA,LOCAL,ON US,PARKSON GRAND-PAVILION,CP,15997.31,1
20261111,26752539,RINGGIT MALAYSIA,OVERSEA,NOT ON US,MR DIY-SUNWAY PYRAMID,CP,16239.29,1
20261111,73038607,RINGGIT MALAYSIA,LOCAL,ON US,MCDONALD'S MALAYSIA,CP,12727.05,1
20261007,73038607,RINGGIT MALAYSIA,LOCAL,ON US,LAZADA MALAYSIA,CP,15567.96,1
20261007,40216008,RINGGIT MALAYSIA,OVERSEA,NOT ON US,HARVEY NORMAN-IOI CITY,CP,3002.06,1
20261004,40216008,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CA,3606.95,1
20261120,88852864,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON CO (M) BHD-MID VALLEY,CP,13121.19,1
20261025,88852864,RINGGIT MALAYSIA,OVERSEA,NOT ON US,SHELL MALAYSIA,CP,2459.88,1
20261104,88852864,RINGGIT MALAYSIA,LOCAL,ON US,SHOPEE PAY,CA,13669.35,1
20261029,90822188,RINGGIT MALAYSIA,LOCAL,ON US,MYDIN MOHAMED HOLDINGS,CA,113472.38,1
20260930,70615926,RINGGIT MALAYSIA,LOCAL,ON US,LOTUS'S STORES-CHERAS,CA,45296.73,1
20261006,70615926,RINGGIT MALAYSIA,LOCAL,NOT ON US,ZALORA MALAYSIA,CP,22507.44,1
20261031,70615926,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHELL MALAYSIA,CA,31276.87,1
