TX_DT,CIF_No,TransactionCountry,TransactionCountryHigherLevel,PriviledgeMerchantsGrp,LDESC,Sales_Type,Amount,TransCount
20260822,97588190,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,5918.03,1
20260822,97588190,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,GRABPAY TOP UP,CP,2755.22,1
20260806,97588190,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,TESCO STORES (M),CP,6277.63,1
20260830,97588190,RINGGIT MALAYSIA,LOCAL,ON US,SHOPEE PAY,CP,2481.79,1
20260826,97588190,RINGGIT MALAYSIA,LOCAL,NOT ON US,MYDIN MOHAMED HOLDINGS,CP,374.63,1
20260829,97588190,RINGGIT MALAYSIA,LOCAL,ON US,SHELL MALAYSIA,CA,6857.36,1
20260831,97588190,RINGGIT MALAYSIA,OVERSEA,NOT ON US,GRABPAY TOP UP,CA,4435.54,1
20260813,97588190,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,PARKSON GRAND-PAVILION,CP,3411.3,1
20260804,97588190,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,WATSONS PERSONAL CARE,CP,3619.66,1
20260828,97588190,RINGGIT MALAYSIA,OVERSEA,ON US,WATSONS PERSONAL CARE,CP,4799.45,1
20260818,97588190,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,AEON BIG (M) SDN BHD-KEPONG,CP,4250.87,1
20260806,97588190,RINGGIT MALAYSIA,OVERSEA,ON US,AEON CO (M) BHD-MID VALLEY,CA,678.3,1
20260821,97588190,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,ZALORA MALAYSIA,CA,2254.13,1
20260808,97588190,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,5608.09,1
20260829,97588190,RINGGIT MALAYSIA,OVERSEA,NOT ON US,GIANT HYPERMARKET-SHAH ALAM,CP,3719.83,1
20260901,97588190,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,GIANT HYPERMARKET-SHAH ALAM,CP,2024.03,1
20260808,85853367,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CP,495.51,1
20260520,85853367,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CP,3220.83,1
20260824,85853367,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CP,2149.21,1
20260614,85853367,RINGGIT MALAYSIA,LOCAL,ON US,GIANT HYPERMARKET-SHAH ALAM,CA,2520.03,1
20260505,85853367,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,LOTUS'S STORES-CHERAS,CP,414.14,1
20260827,85853367,RINGGIT MALAYSIA,OVERSEA,NOT ON US,ECONSAVE-JOHOR,CP,3961.4,1
20260708,85853367,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,LAZADA MALAYSIA,CP,2659.98,1
20260815,85853367,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CP,873.74,1
20260606,85853367,RINGGIT MALAYSIA,LOCAL,ON US,MR DIY-SUNWAY PYRAMID,CP,3051.65,1
20260811,85853367,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,TESCO STORES (M),CP,1253.0,1
20260902,85853367,RINGGIT MALAYSIA,LOCAL,ON US,WATSONS PERSONAL CARE,CP,3168.0,1
20260806,10007812,RINGGIT MALAYSIA,OVERSEA,ON US,TESCO STORES (M),CP,218.4,1
20260828,10007812,RINGGIT MALAYSIA,LOCAL,NOT ON US,SENHENG ELECTRIC,CP,1584.37,1
20260823,10007812,RINGGIT MALAYSIA,LOCAL,ON US,GUARDIAN HEALTH-KLCC,CP,2542.59,1
20260812,10007812,RINGGIT MALAYSIA,LOCAL,NOT ON US,MCDONALD'S MALAYSIA,CA,4513.56,1
20260810,10007812,RINGGIT MALAYSIA,LOCAL,ON US,TESCO STORES (M),CP,4326.65,1
20260825,10007812,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,AEON CO (M) BHD-MID VALLEY,CP,3534.54,1
20260817,10007812,RINGGIT MALAYSIA,LOCAL,ON US,KFC HOLDINGS,CP,714.72,1
20260809,10007812,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,MYDIN MOHAMED HOLDINGS,CP,3373.47,1
20260826,49123810,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,GIANT HYPERMARKET-SHAH ALAM,CP,340.38,1
20260813,49123810,RINGGIT MALAYSIA,LOCAL,ON US,LAZADA MALAYSIA,CP,1278.36,1
20260615,49123810,RINGGIT MALAYSIA,LOCAL,NOT ON US,AEON BIG (M) SDN BHD-KEPONG,CP,4177.52,1
20260807,49123810,RINGGIT MALAYSIA,OVERSEA,ON US,ECONSAVE-JOHOR,CP,7806.97,1
20260803,49123810,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,HARVEY NORMAN-IOI CITY,CP,3428.59,1
20260902,49123810,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,GRABPAY TOP UP,CA,6901.02,1
20260831,49123810,RINGGIT MALAYSIA,LOCAL,NOT ON US,ZALORA MALAYSIA,CA,1989.11,1
20260616,49123810,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,PARKSON GRAND-PAVILION,CP,4693.85,1
20260805,49123810,RINGGIT MALAYSIA,LOCAL,ON US,WATSONS PERSONAL CARE,CP,1479.25,1
20260704,49123810,RINGGIT MALAYSIA,LOCAL,ON US,GRABPAY TOP UP,CP,7243.56,1
20260813,49123810,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,MYDIN MOHAMED HOLDINGS,CP,1671.36,1
20260618,49123810,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CA,6681.63,1
20260608,49123810,RINGGIT MALAYSIA,OVERSEA,ON US,PETRONAS DAGANGAN,CP,6213.92,1
20260806,49123810,RINGGIT MALAYSIA,LOCAL,NOT ON US,COURTS MAMMOTH,CP,386.5,1
20260826,49123810,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,MR DIY-SUNWAY PYRAMID,CP,6083.49,1
20260628,49123810,RINGGIT MALAYSIA,LOCAL,ON US,MCDONALD'S MALAYSIA,CP,193.26,1
20260901,49123810,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SHELL MALAYSIA,CP,1710.53,1
20260115,45830413,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SHELL MALAYSIA,CP,2972.7,1
20260413,45830413,RINGGIT MALAYSIA,LOCAL,ON US,GIANT HYPERMARKET-SHAH ALAM,CP,6845.94,1
20260315,45830413,RINGGIT MALAYSIA,LOCAL,ON US,ECONSAVE-JOHOR,CP,266.76,1
20251004,45830413,RINGGIT MALAYSIA,OVERSEA,ON US - NON PRV-MRCHT,MR DIY-SUNWAY PYRAMID,CP,3416.86,1
20260830,90323465,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,GRABPAY TOP UP,CA,79.47,1
20260821,90323465,RINGGIT MALAYSIA,LOCAL,NOT ON US,GUARDIAN HEALTH-KLCC,CA,475.51,1
20260802,90323465,RINGGIT MALAYSIA,LOCAL,ON US - NON PRV-MRCHT,SENHENG ELECTRIC,CP,1688.92,1
20260709,90323465,RINGGIT MALAYSIA,LOCAL,NOT ON US,SHOPEE PAY,CP,5452.74,1
20260511,90323465,RINGGIT MALAYSIA,LOCAL,ON US,PETRONAS DAGANGAN,CA,1555.12,1
20260711,90323465,RINGGIT MALAYSIA,OVERSEA,ON US,HARVEY NORMAN-IOI CITY,CA,2957.98,1
